content,polarity,agreement
Jajaja. Ya Se nota?. Ojala.. Yo voy a hacerlo con toda la pasion del mundo pero luego vosotr@s (cont) http://t.co/M3fue4nU,P+,AGREEMENT
"Pues para finales de 2012 creo, pero os irE dando pequeños regalillos.. Jejeje. Y ya no puedo (cont) http://t.co/N7IdRDHh",P,AGREEMENT
RT @UNICEFORG: @AlejandroSanz ayudanos a difundir que un mundo sin psoriasis es posible la cura la (cont) http://t.co/YGEjBJMR,P,AGREEMENT
Adiós al maestro de humanidad: http://t.co/A37enFkr vía @diariodejerez,N+,AGREEMENT
Ya vereis que si. Eso lo lleva Rocio.. Pero estoy seguro. Un besito RT @AmoresDeSanz: (cont) http://t.co/CVNNQyNg,P+,AGREEMENT
"Bueno lo dicho, a fundir en un perfume menta y canela.",NONE,AGREEMENT
El soldado Bradley Manning se enfrentará al consejo de guerra  http://t.co/Uh2Y5tgv via @el_pais,N+,AGREEMENT
"Toma! compravotos“@AdrianaRey83: Portada mañana @gaceta_es ""Griñán regaló 54 millones a UGT y CCOO el mismo día en q convocó las elecciones""",N+,AGREEMENT
“@TelediarioInter: Top Secret: El #PSOE de Andalucía despilfarra otros 90 millones de euros en subvenciones. http://t.co/aiWHNXRJ”,N+,AGREEMENT
@mjguemes Q tal estas tu?,NONE,AGREEMENT
Pues a mi me ha encantado #Sherlock,P+,AGREEMENT
Indigna que Gobiernos UE no exijan cambio estatuto BCE para prestar directamente a Estados. Paro disparado y casino financiero a tope.,N+,AGREEMENT
Que bien me lo he pasado esta noche en el espectáculo/ Que bé m'ho he passat!!!. Gràcies/ Gracias  #terratpack,P+,AGREEMENT
Ojala te guste. Un beso. RT @thesevencluod: Vamos el décimo intento de Ke el Hermoso (cont) http://t.co/Ts7lw8K0,P,AGREEMENT
RT @FabyCorrea: @kismeofheartalw yeihhhh y se rumora que en el #CarnavaldeVeracru2012 estará la #chicadorada @PauRubio !!! sera ??,NONE,AGREEMENT
RT @Blank_isabel: @paurubio me encanta tu avatar!!! Se ve que es hermoso tu gordo!!! :),P+,AGREEMENT
Hoy conoceremos datos definitivos de 2011 del padrón municipal. Datos provisionales INE:en España hay casi un 1% más de mujeres q de hombres,NONE,AGREEMENT
Portada ABC http://t.co/xvr80y0V ...,NONE,AGREEMENT
Portada La Razón http://t.co/yPT13N9v ...,NONE,AGREEMENT
De cómo Ana Botella se convirtió en Delegada de Rajoy en Madrid http://t.co/tJ4nllkI,NONE,AGREEMENT
Creéis que hay o no choque de trenes entre Montoro y de Guindos? sus distintas posiciones sobre control cuentas regionales apuntan a que si,N,AGREEMENT
. @DiputacionMLG desbloquea obras por valor de 760.000 euros http://t.co/gf6890FZ @eliasbendodo,P+,AGREEMENT
#FF RT @Manuel_Son_Goku: #FF para una chica buena persona muy malagueña del sur y además del @PPopular como es @mariviromero. Kissess!!,P+,AGREEMENT
Rajoy pide ayuda a la UE. ¿Para los españoles? ¿Para evitar los recortes? No. Para la banca http://t.co/7t8oRLse,N+,AGREEMENT
Nuevas imágenes del proceso eruptivo de ElHierro en la web IGN http://t.co/aok75AMN http://t.co/qCKXXRLo,NONE,AGREEMENT
"En pleno de convalidación decreto d recortes, dejamos propuestas: Pleno monográfico sobre empleo, mesa para nuevo modelo productivo...",P+,AGREEMENT
"Montoro, a los consejeros del PP: ""El Gobierno no va a dejar que ninguna comunidad haga default (suspensión de pagos)"". http://t.co/kYdy4O6Y",P,AGREEMENT
Pero estamos convencidos d q @ToniCanto1 no querrá contribuir a ningún expolio y devolverá 130.000 euros al contribuyente valenciano. Seguro,N+,AGREEMENT
"El martes, 17 de enero, sale a la calle mi primera novela: La trampa. Espero que os guste. Aquí tenéis la portada. http://t.co/WXxdIDaL",P+,AGREEMENT
En la reunión de la Red de Ciudades Inteligentes que hoy se celebra en Logroño http://t.co/G97s1cpC,NONE,AGREEMENT
Facebook nos permitirá escuchar música con nuestros amigos http://t.co/EtVzwBo7,P,AGREEMENT
“@javiersolana: La transicion avanza!Myanmar frees dozens of political prisoners: http://t.co/69AqWhu1 #FT”,P,AGREEMENT
Otra vez haciendo la maleta !!!! #cosasquemegustanhacer,NONE,AGREEMENT
RT @FdoFrances: @mariviromero : El CAC Málaga lidera Ranking de Museos con Mayor Influencia en Redes Sociales  http://t.co/i9yHIX0O,P+,AGREEMENT
Ya tengo mis tickets para LA SONRISA DE JULIA en CONCIERTO. http://t.co/znBUsF4k #socialticketing,NONE,AGREEMENT
En Granada #masdigital:igualdad de oportunidades en el acceso a las nuevas tecnologías,P+,AGREEMENT
La sentencia del caso Marta del Castillo es una VERGÜENZA #INDIGNADOSporsenteciaMarta,N+,AGREEMENT
"La parte en la que rechaza condenar por ""daño a la integridad moral"" (callarse dónde está el cadáver) me parece la más endeble.",N+,AGREEMENT
Paso a tutear desde @gacetadirecto,NONE,AGREEMENT
"El Gobierno recuerda a sindicatos y empresarios que ""el lunes acaba el plazo"" para alcanzar un acuerdo en la reforma laboral @servimedia",N,AGREEMENT
La Vicepresidenta dice que se cambiarán las leyes para reforzar la seguridad de los menores y no valora sentencia #martadelcastillo,NONE,DISAGREEMENT
"El Gobierno define el apoyo de CiU a sus recortes como ""el inicio de una deseable colaboración"" durante la legislatura @servimedia",P,AGREEMENT
Mucho RT @vacp5: #Elcambioandaluz : urgente y muy necesario http://t.co/C0SC1wKT vía @mariviromero,N,AGREEMENT
He apoyado la petición Pongamos fin al limbo de los Centros de Internamiento de Extranjeros - http://t.co/JmHwe52d,P+,AGREEMENT
"La obra 'Yo, el heredero' inaugura la temporada de teatro del Auditorio de la @DiputacionMLG http://t.co/mekhQ2p1",P,AGREEMENT
"Arenas: ""Bajo ningún concepto Rajoy está vinculado por el 25M"" http://t.co/Jpg1hDn3",P,AGREEMENT
Terminando de comer con @sneijder101010 y su mujer @yolanthecabau en el Hotel Bulgari. Just finished eating at the Bulgari Hotel.,NONE,AGREEMENT
Toda mi admiración!!!“@PrimitalBros: @PaulaVazquezTV con un público como Vd. da gusto salir al escenario. Un beso #losmayordomosdeTheHole”,P+,AGREEMENT
"Ya estoy sentada en el vuelo , Holanda me espera!",P,AGREEMENT
A la cola por las autonómicas RT @pedroj_ramirez Ya era hora. El Gobierno cambiará la ley para facilitar privatización http://t.co/hJJGhf2Z,N+,AGREEMENT
Alguien pedía esto esta mañana y ahí va; Dixie Chicks con James Taylor:  http://t.co/OmamGjAI vía @youtube,NONE,AGREEMENT
@cesc4official ooooohhhhh moc moc. Ritaaaa ritaaaaaaaaaa...,N,AGREEMENT
"ja, ja!!! “@arturamonart: @Buenafuente ¡Te ha quedado una auténtica obra de arte!”",P+,AGREEMENT
la canción Prayers For Rain de The Cure http://t.co/FmYz0IcS,NONE,AGREEMENT
"Acaba de llegar a #elcambioandaluz el Ministro de Hacienda y Administración Publica, Cristóbal Montoro http://t.co/jVzEJt2s",NONE,AGREEMENT
"Ah, y un #FF para @sgueina que es como la Circe de Homero: ""divina entre las diosas""",P+,AGREEMENT
"Esta noche, a @24horas_rne, con mis amigos @JMPazosRoyo, Peridis e Iñigo Alfonso",NONE,AGREEMENT
El Alcalde de Córdoba @nietoppcordoba interviene en #elcambioandaluz http://t.co/XoDxwCk8,NONE,AGREEMENT
Los mossos tienen buenos asesores: si quieres conseguir que Mas y Puig no te recorte sueldo y material haz huelga hablando en castellano...,N,AGREEMENT
"Se llama ""sombra y luz"" me alegra que te guste RT @monsherrygirl: @AlejandroSanz  como se (cont) http://t.co/7H79Q6zw",P+,AGREEMENT
Ahora comienza #elcambioandaluz de los jóvenes #conectaconelcambio ;-)) @nnggandalucia ;-)) http://t.co/C1tJ6B30,P+,AGREEMENT
Jajaja.. Que chalao. RT @PARTISAN0: @AlejandroSanz te gusta el coche último modelo que me acabo de (cont) http://t.co/rYvY5zyO,P,AGREEMENT
"Los políticos tienen difícil superar al alcalde de Getafe, protagonista de un vídeo de adelgazamiento http://t.co/nJQVSzpC",N+,AGREEMENT
"RT @REGALAMPANA: @AlejandroSanz por favor retwitea, apoyoamartadelcastillo.",NONE,AGREEMENT
Pedazo de musical#muyrecomendable#inclusoparanosabineros http://t.co/LwVSyTCB,P+,AGREEMENT
“@earcos: @ristomejide tus libros deberían estar para Kindle...” @editorialespasa,P,AGREEMENT
"Comunicación política y redes sociales #elcambioandaluz @jotacarmona_es Evolución, Comunicación, Revolución http://t.co/MZU0wNtq",NONE,AGREEMENT
;-)) RT @JuandeVi: Con @mariviromero @mariafrances en el encuentro sobre comunicación política y redes sociales por @jotacarmona_es,NONE,AGREEMENT
"Buscamos cobrador del Frac, para que Iker Casillas pague sus deudas a los compañeros. Gracias.",N+,AGREEMENT
Se confirma rebaja de raiting Francia e Italia. A la espera de q España reciba la llamada correspondiente. Solo Alemania tiene AAA,N,AGREEMENT
Malas noticias para zona Euro,N,AGREEMENT
Hizo buen Camerón huyendo de la euro cumbre antes de la debacle. Tenia razón es in pulso tripleA entre Alemania y gran bretaña,NEU,DISAGREEMENT
Me parece muy injusto la sentencia del juicio de marta del castillo,N+,AGREEMENT
"“@Ghostface1993: La chispa de la vida es una cinta emocionante, seria y espectacular, todo el mundo debería verla por que es ÚNICA. gracias!",P+,AGREEMENT
"Amigos, gracias por la increíble acogida. Da gusto hablar directamente con vosotros. #twitteradicto",P+,AGREEMENT
Mucho RT @jcebreros20: @mariviromero urge #cambioandaluz ya esta bien,N,AGREEMENT
"Toda mi solidaridad con la familia d Marta del Castillo.Hoy ha sido un día duro para la mayoría de ciudadanos,impotentes ante la sentencia",N,AGREEMENT
pero si me acabo de comprar el 2!! “@BloombergNews: BREAKING: Apple iPad 3 production is said to have started this month $AAPL”,NONE,AGREEMENT
RT por una buena causa: #campañaparaquealmudenasigaentwitter @Almudenafc @Noelia_posse @Adrian_Grande :))),P+,AGREEMENT
Hoy he conocido a @_danielmartin_ eres un crack!!! Lástima q solo he podido escuchar unas canciones http://t.co/WZv8KYSG,P,DISAGREEMENT
"Noche del viernes, casita,familia y película que mas se puede pedir...un abrazo a todos!!!:-)",P+,AGREEMENT
Indignante la sentencia y todos los acontecimientos en torno al caso #MartadelCastillo La justicia NO ES IGUAL para todos.#cadenaperpetuaYA,N+,AGREEMENT
El lunes toma posesión la nueva abogada general del Estado y otros altos cargos en el Ministerio de Justicia http://t.co/4u6n5AOU,NONE,AGREEMENT
"Si, era Audrey.Me encanta... http://t.co/77jb1vUb",P+,AGREEMENT
Bdías. Estoy en Paris. La pérdida de la AAA de S&P cayó anoche como un jarro de agua fría sobre Francia. Sarko lo tiene mal en abril.,N+,AGREEMENT
"""No son maneras"", post sobre cómo se está comportando cara al público el Gobierno Rajoy, Soraya y los demás ministros. ...",N+,AGREEMENT
La buena noticia del día: se acaba d firmar el mayor contrato de España en el exterior: la construcción del AVE a La Meca (6.700 mill.euros),P+,AGREEMENT
Vamos ! Hoy @marianorajoy con #elcambioandaluz (@ El Cambio Andaluz w/ @milamorr) [pic]: http://t.co/QTHfdmWu,NONE,AGREEMENT
"Rajoy viaja en AVE para dar su primer discurso publico, en un mitin en Málaga. Un gesto: no va en el avión de presidente, sino en tren.",P,AGREEMENT
Con mi amigo @kataly91 direccion lanzarote!!!!! http://t.co/GyTGk6zB,P,AGREEMENT
"Recomiendo la copia digital, excelente proyección del Capitol.",P+,AGREEMENT
S&P considera q el mero ejercicio de austeridad puede dificultar el crecimiento. Presiones para alargar plazos?,N,AGREEMENT
¡Noticias descombacantes! está disponible! http://t.co/pdWFYyRa ? Historias del día por @natamateo,P,AGREEMENT
"#RbcbenAlmería ""l@s socialistas españoles debemos mucho a l@s socialistas andaluces, claves en la construcción del @PSOE moderno""",P+,AGREEMENT
Hecho! @rafaminer,P,AGREEMENT
Está claro que con Marta del Castillo no se ha hecho justicia. Ni se ha condenado a los culpables ni se ha dado... http://t.co/kWAkcOr2,N+,AGREEMENT
"Uyyyy que ganas tenía se oír esto "" bienvenido @marianorajoy , Presidente del Gobierno de España"" ;-))))))  http://t.co/14XstMMv",P+,AGREEMENT
""" la formación será derecho individual de cada trabajador y vamos a mejorar la empleabilidad"" @fatimabanez #elcambioandaluz",P+,AGREEMENT
""" #Andalucia fue la punta de lanza del cambio en 22 de Mayo y el 20 de Noviembre"" @marianorajoy #elcambioandaluz  http://t.co/WfUdeQiz",NONE,AGREEMENT
"Por favor, controlemos un poco las RTonterias... Gracias ;)",NEU,AGREEMENT
Rajoy dice en un mitin q reformará la Ley del Menor @todosconmarta,NONE,AGREEMENT
I uploaded a @YouTube video http://t.co/oImWA2xW Sabemos lo que hay que hacer 2,NONE,AGREEMENT
"Rajoy modesto: ""Tenemos un gobierno de categoría""",P,DISAGREEMENT
Me encanta esta foto ;-))))) #elcambioandaluz @marianorajoy @javierarenas_pp @eliasbendodo #elcambioandaluz  http://t.co/StCQWVz1,P+,AGREEMENT
. @JavierArenas_pp la persona que lidera el cambio en #Andalucia #elcambioandaluz http://t.co/hbR3duvj vía @youtube,NONE,AGREEMENT
El mio tambien. ;) RT @AmoresDeSanz: @AlejandroSanz  es increible porque cada vez que hablas de (cont) http://t.co/lBMcvg2J,P+,AGREEMENT
IGual para ti gUapa. RT @sanzlokeras: @AlejandroSanz yo no te pido ña!solo desearte un feliz sábado! Bss rosana,P,AGREEMENT
Ya estamos en el encuentro sobre accion política en redes sociales #elcambioandaluz . Gracias a todos por estar aquí  http://t.co/Hka5SKdn,P+,AGREEMENT
Redistribuir la realidad. Al menos con la paradoja del futuro entrevisto. Ensayos de William Gibson http://t.co/lZ26X5e2,P,AGREEMENT
"Quiero ser Secretario General porque puedo ser útil para mi partido. Tengo experiencia, tengo ganas e ideas.  #rbcbenmalaga #rubalcaba38",P,AGREEMENT
"Tenemos que hacer una buena oposición, útil, si no estamos ahí el partido corre un riesgo. #rbcbenmalaga #rubalcaba38",P+,AGREEMENT
“@maria_urraco: @Edurnity Edurne!!! Ya tengo mi entrada para LA ÚLTIMA funcion de Grease!!! http://t.co/AGVzNq4v”,P,AGREEMENT
A punto de comenzar el Foro de Igualdad de #elcambioandaluz con @JuanMa_Moreno  http://t.co/3NgeswL3,NONE,AGREEMENT
"Denle RT por favor, si alguien puede ayudar. RT @CarolinaDiago: @AlejandroSanz Pls help me help 2 (cont) http://t.co/TyIoGnol",P,AGREEMENT
"Rematado para @Semanaldigital : ""El estilo Rajoy según la doctrina Lillo""... ¿es más importante jugar bien o hacer jugar bien a los tuyos?",NONE,AGREEMENT
Denuncia la impunidad absoluta del pasado totalitario de España.,N+,AGREEMENT
Denuncia la vulneración de la legalidad internacional sobre persecución del genocidio por el TSupremo.,NEU,AGREEMENT
""" vamos un plan integral de conciliación para lograr la corresponsabilidad en el ámbito familiar"" @JuanMa_Moreno  http://t.co/spAzMgsz",P,AGREEMENT
"""El jabalí es el cerdo que defiende sus jamones"" via @GmezDeLaSerna // @JorgeBustos1 @iruizquintano",NONE,AGREEMENT
En el Foro interviene Teresa Jiménez Becerril que alza la voz por la igualdad en el Parlamento Europeo #elcambioandaluz http://t.co/BrPNSIH3,P+,AGREEMENT
"No entiendo a quien que se dedica a destruir BLOGs como el mío http://t.co/Ey6CxPZ0,  u otros. ¿Por qué les molesta ? ¿Qué? Y ¿a quién?",N,AGREEMENT
Analizamos ahora la propuesta de planes específicos de empleabilidad para mujeres que sufren discriminación #elcambioandaluz,P,DISAGREEMENT
;-)) RT @Mmercedesmartin: @mariviromero a ti por resolvernos todas nuestras dudas sobre el mundo de las RRSS,P+,AGREEMENT
"La agrupación mas grande de Madrid,al completo con RbCb.Los 28 delegados de la agrupación de Latina elegidos en una lista única proRubalcaba",P+,AGREEMENT
Dos científicos de gran valor Elías Campo y Carlos López Otín premiados en #altoaragoneses 2011,P+,AGREEMENT
Cenando con mi gran amigo @Kataly91,P+,AGREEMENT
Y esta noche en discoteca aqua en lanzarote!!!!,NONE,AGREEMENT
"""@pmonserrat: que han hecho? El enlace no me funciona"" Demostrar su fiabilidad robando mi imagen sin permiso:  http://t.co/vU8pcDQs",N,AGREEMENT
"Viendo El Gran Debate en Tele5. Geniales Iranzo, Carmen Tomás y @AntonioMiguelC . Buena apuesta de la cadena.",P+,AGREEMENT
Me asombra el extraordinario poder que tiene la envidia en este país.Ignoran que el mal de los otros acaba siendo el propio...,NEU,DISAGREEMENT
“@icacabelos: @Jocoserio ?Vamos!!!!”a x el 10%%%!!!!!,NONE,AGREEMENT
"“@Yaye_: #lachispadelavida da gusto ver cine español y que la sala esté llena.Enhorabuena por la película. me ha encantado,sin más” gracias!",P+,AGREEMENT
“@Agua919:  Cómo describir #lachispadelavida : Parodia del grotesco morbo humano. Brillante idea. Así da gusto ir al cine” gracias amigo,P+,AGREEMENT
Curiosidad del insomne: ¿Por qué iba a ceder la CEOE ante sindicatos si sabe que el Gobierno hará por decreto lo que la patronal quiere?,N,AGREEMENT
Putos amos! http://t.co/BmDtXftM,P+,AGREEMENT
Muy buenas noches followercetes! http://t.co/wZdohAFs,P,AGREEMENT
“@ManoloCastillo: La entrevista de mañana al director del Prado en los regionales de Vocento va a dar mucho que hablar...”,NONE,AGREEMENT
Hasta mañana. Ya va siendo hora...!!!! Qué buen sabor de boca Mizayaki.,P+,AGREEMENT
"El aeropuerto de Castellón, q costó 150 mill, ""tapaba"" una recalificación para 40.000 viviendas http://t.co/SLJNLV35",N,AGREEMENT
Guindos propone controlar a las autonomías y Montoro le matiza. http://t.co/x5xsRBwD Ya me extrañaba a mi!!,NEU,DISAGREEMENT
.@MarianoRajoy:  Las elecciones tienen que ser un grito esperanzado contra la corrupción http://t.co/RvxFbBfU via @ #elcambioandaluz,P,DISAGREEMENT
Mucho animo! Vamos muy muy bien!!! RT @MariajePR: Buenas ya muy cerca de Bilbo! @ElenaValenciano @_Rubalcaba_ @AAlvarezAlvarez @patxilopez,P+,AGREEMENT
"Sobre el divorcio sin abogado,procurador ni juez... http://t.co/mpEaRrIa",NONE,AGREEMENT
abcdesevilla.es: La protesta contra el enchufismo llegará al Congreso del PSOE http://t.co/yvkRxhtg,P,AGREEMENT
En recuerdo a Manuel Broseta... RT @Rubindecendoya El Rincón de Rubín: VIDAS ROTAS EL 15 DE ENERO http://t.co/2NfeNics,P,AGREEMENT
SI! RT @AnaVazquez39 @Tonicanto1 Me haces RT?   http://t.co/tAKHWNdV,NONE,AGREEMENT
La emisión de CO2 en el volcán de El Hierro continúa descendiendo http://t.co/j1IA5O25 (ep),P,DISAGREEMENT
La cuesta de enero es la Crisis Deluxe.,N,AGREEMENT
¡Noticias descombacantes! está disponible! http://t.co/pdWFYyRa ? Historias del día por @belategui @vertele,P,AGREEMENT
Esto opina el partido? “@PSOE: Con una candidata podemos ir a peor. Y con el otro no vamos a ninguna parte. ¿Qué ha pasado con la cantera?”,N,AGREEMENT
""" el 25 de Marzo no nos jugamos mucho, nos lo jugamos todo"" @eliasbendodo #elcambioandaluz",NEU,AGREEMENT
"Precisamente porque creo en la separación de poderes, me repugna el proceso inquisitorial al juez Garzón con inhabilitación preventiva.",N+,AGREEMENT
Sigo top 11 a 20. Ruedo ibérico. Misericordia. Rojo y. Gatopardo. Forja rebelde. Karenina. Doña Flor. Plaza Diamante. Cien años. Miserables,NONE,AGREEMENT
""" el cambio que proponemos es el cambio tranquilo que tenemos que hacer entre todos "" @javierarenas_pp #elcambioandaluz",P+,AGREEMENT
"Hay que anotar este nombre: Francesco Schettino, capitán del crucero hundido. Huyó el primero. (Por si se lo encuentran en otro barco).",N,AGREEMENT
""" el 25 de Marzo elegimos entre el inmovilismo del @PSOE  y la renovación y la esperanza del @ppandaluz "" @javierarenas_pp #elcambioandaluz",NEU,DISAGREEMENT
""" los socialistas han multiplicado por 5 la deuda publica en #Andalucia "" @javierarenas_pp #elcambioandaluz",N+,AGREEMENT
""" no me gustaría ver crecer a mi hijo y verle desesperanzado con la vida, por eso tenemos que trabajar mucho ahora"" @sorayapp",NEU,DISAGREEMENT
"""Veo 1 partido de mayorías: no podemos olvidarnos de los más desfavorecidos, por ellos nacimos. Nos tenemos que dirigir a las clases medias""",P+,AGREEMENT
"""Debemos tener la capacidad de vertebrar la sociedad española. Tenemos que ser coherentes en toda España.""",P+,AGREEMENT
"""Tengo esperanza basada en los principios de la igualdad, la solidaridad y la justicia social, compartidos por una amplia base social""",P,AGREEMENT
De verdad han hackeado el Twitter del PSOE? Xq yo diría que más bien les ha traicionado el subconsciente.El tuit decía verdades como puños,NEU,DISAGREEMENT
Mi hacker se ha comido mis deberes ;-) #excusasPSOE,NONE,AGREEMENT
"Angel Luna, el azote de la corrupción del PP en Valencia explica porque apoya a RbCb http://t.co/StBXX1IY",N,DISAGREEMENT
Os contaremos también que Angelina Jolie le ha pedido trabajo a Pedro Almodóvar... ¡con una cámara por testigo! ¿Qué le ha contestado él?,NONE,AGREEMENT
Hay formas de ajustar incluso 40.000 millones sin desmantelar el Estado del bienestar: http://t.co/Jw8fnJ7P#porquePúblicohacefalta,NEU,AGREEMENT
"“@sonrisadekiwi: Ayer vi La chispa de la vida... En tensión hasta el último segundo, me gustó mucho!  Enhorabuena!!! Gracias!!!!!!!",P+,AGREEMENT
Gracias a TODOS.,P+,AGREEMENT
Los turistas españoles del naufragio. El mal tiempo q llega. ¿Pq los casos d sarampión se han multiplicado x 10? Os lo contamos a las 3.,N+,AGREEMENT
Ya dentro del avion con @Kataly91 A dormir un poquito ahora y dejar una horita en el aire... http://t.co/BmdqgFwQ,NONE,AGREEMENT
"Anoche jugando hasta las tantas a ""atrapa un millon"" con @_Aliflor_  y @Wallchairfloor Me encanta!!!! http://t.co/x0vPFfcz",P+,AGREEMENT
"Feliz domingo a tod@s, hoy hasta Dios descansa. Trataré de no entrar al estudio y no escuchar nada de lo hecho estos dias. #NoSeSiPodré.",P,AGREEMENT
"Gracias a tod@s los participantes de la Convención, vosotros sois los protagonistas. Junt@s y con humildad haremos #elcambioandaluz",P+,AGREEMENT
"Merkel persiste en el error. Lo explica @josecdiez en su análisis ""El euro en la encrucijada"". http://t.co/1E8clG0o",N,AGREEMENT
En la reunión del Consejo de Política Fiscal y Financiera del martes se establecerá el control previo de la deuda y el déficit de las CCAA,P,DISAGREEMENT
Dos figuras ahora en cartel!#lachispadelavida http://t.co/2qRxfc8D,P,AGREEMENT
"Cuando no se trata de un juicio sino de un linchamiento, la sentencia está fijada de antemano. No hay garantías de juicio justo.",N,AGREEMENT
Los de color Twitter “@La_Coronel: @pedroj_ramirez De esos 60-70 seguro que hay unos favoritos.”,P+,AGREEMENT
Martínez-Simancas hace memoria histórica con sus  http://t.co/hiXawo5I vía @el_pais,NONE,AGREEMENT
"@sanchez_sonia @Aguaazulverde @AntonioRNaranjo @MartaRiveraCruz @sgueina @raquelmartos Mira que lo he pensado, pero estoy muy poco despierta",N,AGREEMENT
Estoy leyendo un libro que es como una montaña rusa: se pone interesante y se viene abajo. Y vuelta a empezar.,NEU,DISAGREEMENT
Conoces Sendero de Favores ? http://t.co/3JTd4UI6,NONE,AGREEMENT
Vamos a cenar... Un BESAZO enorme !!!,P,AGREEMENT
"Cuanto daño ha hecho el todo gratis d ZP. Pretenden metro gratis, luz gratis, casas gratis.Los países se suicidan, solo hay q mirar a Grecia",N+,AGREEMENT
#elcambioandaluz   @ Palacio Congresos de Malaga http://t.co/ASu8KVOq,NONE,AGREEMENT
Por hoy twitter off. Que mañana sea un buen día.,P,AGREEMENT
EM publica mañana un importante testimonio sobre un aspecto clave de la sentencia del 11-M. Dentro de una hora lo tendréis en Orbyt.,NONE,DISAGREEMENT
"Qué sensación? RT @1001Medios: ""Habrá periódicos con sensación de papel… pero serán digitales” dice @nnegroponte http://t.co/Fdzt5Vyh”",NONE,AGREEMENT
"Viajé con él en helicóptero en la campaña del 77. Lo recuerdo gritando más que los motores y señalando al suelo: ""Ese parador lo hice yo"".",NEU,AGREEMENT
"Asi es . Que descanse en paz RT @absioke: @mariviromero al menos ha podido ver como @marianorajoy es presidente, descanse en Paz",P,AGREEMENT
"Ahora que se multiplica la corrupción política, concluyamos que Fraga nunca se enriqueció en ninguno de sus muchos cargos.",N,DISAGREEMENT
"Como sabíamos todos, Fraga era un hombre de Estado y al final ha puesto a prueba los cierres de todas las redacciones http://t.co/8J9rdmZF",NONE,AGREEMENT
"Con Michael thomas, Jose Angel Velez y Don Luis Rogelio Rodriguez http://t.co/9oulLSnk",NONE,AGREEMENT
A  Don Manuel Fraga Iribarne : gracias eternas http://t.co/O75E8B6v,P+,AGREEMENT
Fraga sera velado en su domicilio este lunes y el martes sera trasladado a Perbes(Lugo) donde será enterrado. Es la intención de la familia.,NONE,AGREEMENT
"Mis #trolldeldía de hoy (competición muy reñida). En el número uno, el resistente a la dictadura de ZP http://t.co/wUZTddEZ",N+,AGREEMENT
Ha muerto FRAGA. DEP. pero los democratas de carnet no respetan ni un dia de luto a uno de los padres de la Constitucion.,N,DISAGREEMENT
"Portada de 'Público', lunes. Nuevas 'hazañas' de Urdangarin; el siniestro crucero y la muerte de Fraga. http://t.co/yggJpDEG",NONE,AGREEMENT
La hija de Fraga en ABC: &quot;Ha muerto tranquilo&quot;,NEU,AGREEMENT
"Veo que mi educado #trolldeldía, el de ""cara de rana"", es periodista de Intereconomía en Granada https://t.co/fwT98Fks",NONE,AGREEMENT
La mitad de los diputados de AP se abstuvo o votó en contra de la Constitución. Fraga fue de los que votó a favor.,NEU,DISAGREEMENT
"La mejor parte es cuando Rajoy presenta a Fraga como un ministro de Información que se la jugó en el franquismo por ""reformista"".",N,AGREEMENT
Fraga acabó siendo más moderado que muchos otros en el PP. Un artículo que escribí sobre el tema en el verano de 2010 http://t.co/fuLAy89y,P,AGREEMENT
"Recuperado otro cadáver en el Concordia,segun agencia Ansa.Ya son 6 muertos,entre ellos un español.Empresa armadora habla d error dl capitán",N+,AGREEMENT
Portada La Gaceta http://t.co/U8kc9TtR ...,NONE,AGREEMENT
Portada El Periódico http://t.co/a7nezrCw ...,NONE,AGREEMENT
Buenos días,NONE,AGREEMENT
A ver si os gusta! b Dias! El cartero llama dos veces | Intereconomía | 689632 http://t.co/JL9RVpkn via @intereconomia,P,AGREEMENT
"A ver si os gusta la nueva cabecera.....a mi me encanta..Hoy en #losdesayunosdetve el ministro Soria. Hablamos de energía, paro, Fraga, etc.",NEU,DISAGREEMENT
Padre constituyente hizo un gran esfuerzo por modernizar y moderar la sociedad española desde su posición liberal conservadora #graciasFraga,P+,AGREEMENT
Adoro a Sofía Vergara......,P+,AGREEMENT
Ya está aqui Bern Shcuster!!!;)) http://t.co/5PN9EpX5,P,AGREEMENT
"“@JotDownSpain: Pedro J. Ramírez: ""Tengo la inmensa suerte de dedicarme a lo único para lo que sirvo"" http://t.co/xZce0OP2”",P+,AGREEMENT
El debate sobre las luces y las sombras de Fraga es también un debate sobre la transición http://t.co/NUckn1GK,NONE,AGREEMENT
"En la capilla ardiente de #Fraga. Han pasado Rajoy, Cospedal, Galardón, Cañete, Hernandez Mancha, Marcelino Oreja, Rubalcaba y Blanco...",NONE,AGREEMENT
Todos recuerdan a #Fraga como hombre de estado que lo fue todo en la política española de los últimos 60 años,P,AGREEMENT
"Hoy,22h,en@giraldatv,comienza la cuenta atrás:faltan 5 días xa el derbi#Betis-#SevillaFC.Hoy en La Liga,@zoidoalcalde con Guillén y Del Nido",NONE,AGREEMENT
Ya ya ...RT @UnaMujerDe40: No debería llamarte la atención @mariviromero. La hipocresía existe...,N+,AGREEMENT
y preguntamos en @13tv_AlDia : ¿le están convenciendo o le están decepcionando las primeras semanas d la 'Era Rajoy'? ¿por qué? @DHAM_13tv,NEU,DISAGREEMENT
"Hoy dedicamos a @EduMadina la versión de Gwen Stefani del mítico ochentero ""It's my life"" de los Talk Talk http://t.co/60skzOIH",P,AGREEMENT
